ID	adj.P.Val	P.Value	t	logFC	Gene.symbol
222021_x_at	4.35E-02	2.11E-03	3.4663563	0.67557222	SDHAP2///SDHAP1
215218_s_at	4.35E-02	2.11E-03	-3.4662236	-1.28851669	WDR62
218032_at	4.36E-02	2.12E-03	-3.4654955	-1.21878365	SNN
225095_at	4.36E-02	2.12E-03	3.4654221	0.61434667	SPTLC2
224367_at	4.36E-02	2.12E-03	-3.4651564	-0.85437862	BEX2
213366_x_at	4.36E-02	2.12E-03	3.4650952	0.64530236	ATP5C1
211105_s_at	4.36E-02	2.12E-03	-3.465061	-1.37904833	NFATC1
1552796_a_at	4.36E-02	2.12E-03	-3.4647067	-1.63996143	SIM1
204875_s_at	4.36E-02	2.12E-03	3.4645908	1.42002476	GMDS
228914_at	4.36E-02	2.12E-03	-3.4643775	-1.26155112	
202088_at	4.36E-02	2.13E-03	-3.464018	-0.71423166	SLC39A6
211745_x_at	4.36E-02	2.13E-03	-3.4638209	-2.04164093	HBA2///HBA1
205076_s_at	4.37E-02	2.13E-03	3.4627228	1.16253155	MTMR11
207721_x_at	4.37E-02	2.13E-03	3.4626865	0.5779735	HINT1
200975_at	4.37E-02	2.13E-03	-3.4626173	-0.7201852	PPT1
225138_at	4.37E-02	2.13E-03	-3.4624347	-0.60826822	ZRANB1
201615_x_at	4.37E-02	2.13E-03	-3.4622477	-1.38937806	CALD1
221011_s_at	4.37E-02	2.13E-03	-3.462194	-1.18599471	LBH
243669_s_at	4.37E-02	2.14E-03	3.4618586	1.84830869	PRAP1
243423_at	4.37E-02	2.14E-03	-3.4613978	-1.47969719	TNIP1
229622_at	4.37E-02	2.14E-03	-3.4611406	-2.01736754	ERFE
209795_at	4.37E-02	2.14E-03	-3.4610081	-1.71635804	CD69
210074_at	4.37E-02	2.14E-03	3.460817	1.46703001	CTSV
210302_s_at	4.38E-02	2.14E-03	-3.4605291	-2.09496369	MAB21L2
221166_at	4.38E-02	2.14E-03	-3.4603382	-1.6610233	FGF23
225600_at	4.38E-02	2.15E-03	3.460191	0.94578477	TRIQK
226177_at	4.38E-02	2.15E-03	3.4599305	0.59210745	GLTP
230855_at	4.38E-02	2.15E-03	-3.4592179	-1.53220384	GATA4
220724_at	4.38E-02	2.15E-03	3.4591821	2.44132004	CWH43
208345_s_at	4.39E-02	2.15E-03	-3.4586067	-2.04647977	POU3F1
213652_at	4.39E-02	2.15E-03	-3.4584582	-1.09957386	PCSK5
