ID	adj.P.Val	P.Value	t	logFC	Gene.symbol
201289_at	6.95E-11	1.27E-15	-19.316086	-5.94112291	CYR61
202768_at	2.43E-09	1.01E-13	-15.7194503	-6.95512411	FOSB
209189_at	2.43E-09	1.33E-13	-15.514348	-5.22397202	FOS
201694_s_at	4.67E-09	3.42E-13	-14.8278778	-4.0543598	EGR1
210764_s_at	5.41E-09	4.95E-13	-14.5653311	-6.53075681	CYR61
201041_s_at	4.39E-07	5.35E-11	-11.5465574	-2.45413476	DUSP1
227404_s_at	4.39E-07	5.63E-11	-11.516511	-4.47587421	EGR1
223316_at	1.94E-06	2.83E-10	-10.5931505	-4.59230998	CCDC3
201693_s_at	2.42E-06	3.98E-10	-10.4060636	-3.41023566	EGR1
220276_at	5.81E-06	1.06E-09	-9.8761837	-5.13632928	RERGL
201466_s_at	9.97E-06	2.01E-09	-9.5433197	-2.08223261	JUN
222162_s_at	1.48E-05	3.25E-09	-9.2947426	-4.94468905	ADAMTS1
209101_at	2.40E-05	5.72E-09	-9.0097251	-3.46726632	CTGF
225242_s_at	3.03E-05	7.82E-09	-8.8533676	-2.71282879	CCDC80
206577_at	3.03E-05	8.32E-09	-8.8225477	-5.87259151	VIP
202340_x_at	3.35E-05	9.81E-09	-8.7414276	-4.32943958	NR4A1
223122_s_at	4.25E-05	1.32E-08	-8.5958052	-5.96037876	SFRP2
209612_s_at	6.70E-05	2.21E-08	-8.3476	-2.65841645	ADH1B
232887_at	7.02E-05	2.44E-08	-8.2991729	-3.75367127	PIRT
212099_at	9.88E-05	3.70E-08	-8.100916	-2.51921757	RHOB
201464_x_at	9.88E-05	3.96E-08	-8.0694665	-1.54166189	JUN
222486_s_at	9.88E-05	3.97E-08	-8.0675311	-3.99613284	ADAMTS1
209613_s_at	1.31E-04	5.50E-08	-7.9154599	-2.76591444	ADH1B
201387_s_at	1.46E-04	6.40E-08	-7.8447724	-3.93534971	UCHL1
205100_at	1.50E-04	7.01E-08	-7.8019719	-3.19751428	GFPT2
218876_at	1.50E-04	7.15E-08	-7.7932003	-3.30556036	TPPP3
202291_s_at	1.72E-04	8.49E-08	-7.7137513	-3.13714003	MGP
201150_s_at	1.72E-04	8.81E-08	-7.696651	-2.81862854	TIMP3
204955_at	1.87E-04	9.92E-08	-7.6418386	-2.36609281	SRPX
37028_at	1.88E-04	1.03E-07	-7.6247386	-1.71183848	PPP1R15A
1555847_a_at	1.95E-04	1.11E-07	-7.5891389	-1.76117381	MIR24-2///MIR23A///LOC284454
222722_at	1.95E-04	1.18E-07	-7.5629815	-3.42275742	OGN
218625_at	1.95E-04	1.19E-07	-7.5581045	-1.93050733	NRN1
229822_at	1.95E-04	1.21E-07	-7.5497219	-3.08315784	PARVB
201531_at	2.00E-04	1.28E-07	-7.5258549	-1.77910314	ZFP36
216834_at	2.27E-04	1.54E-07	-7.4426459	-3.61065365	RGS1
218541_s_at	2.27E-04	1.54E-07	-7.441551	-2.19057618	C8orf4
208763_s_at	2.38E-04	1.65E-07	-7.4087113	-2.15064929	TSC22D3
1554375_a_at	2.71E-04	1.96E-07	7.33228	2.81018583	NR1H4
204938_s_at	2.71E-04	1.99E-07	-7.3263222	-5.49666111	PLN
214240_at	3.11E-04	2.35E-07	-7.2513984	-3.45507971	GAL
228750_at	3.11E-04	2.39E-07	-7.2438603	-2.30296615	COL14A1
208131_s_at	3.12E-04	2.45E-07	-7.2319795	-2.89790226	PTGIS
228854_at	3.43E-04	2.82E-07	-7.169702	-3.8149839	
211959_at	3.43E-04	2.85E-07	-7.1640062	-2.85557315	IGFBP5
228186_s_at	3.43E-04	2.89E-07	-7.1584762	-2.90011539	RSPO3
213068_at	3.48E-04	2.99E-07	-7.142905	-2.96634569	DPT
232570_s_at	3.56E-04	3.12E-07	-7.1237134	-3.18685243	ADAM33
200974_at	3.56E-04	3.19E-07	-7.1136433	-2.91849709	ACTA2
206093_x_at	3.60E-04	3.29E-07	-7.0998212	-2.1634803	TNXB///TNXA
203980_at	3.71E-04	3.46E-07	-7.0777393	-3.85229006	FABP4
204223_at	3.77E-04	3.58E-07	-7.0627486	-2.50323551	PRELP
202988_s_at	3.84E-04	3.73E-07	-7.0451963	-3.6427696	RGS1
213451_x_at	3.91E-04	3.87E-07	-7.0288987	-2.24740761	TNXB///TNXA
223121_s_at	4.14E-04	4.17E-07	-6.995503	-4.5410838	SFRP2
202992_at	4.43E-04	4.53E-07	-6.9583649	-2.80077	C7
230087_at	4.57E-04	4.76E-07	-6.9366003	-2.58936835	PRIMA1
206227_at	4.63E-04	5.01E-07	-6.9147873	-2.35526469	CILP
210139_s_at	4.63E-04	5.08E-07	-6.9084931	-2.05137633	PMP22
219371_s_at	4.63E-04	5.08E-07	-6.9079914	-1.77355889	KLF2
209159_s_at	4.92E-04	5.48E-07	-6.8747203	-3.31467909	NDRG4
204457_s_at	5.14E-04	5.83E-07	-6.8479198	-3.78725969	GAS1
226282_at	5.39E-04	6.21E-07	-6.8204924	-3.22828063	PTPN14
228802_at	5.64E-04	6.70E-07	-6.7867768	-4.35766953	RBPMS2
227099_s_at	5.64E-04	6.71E-07	-6.786438	-2.16942967	C11orf96
216333_x_at	6.46E-04	7.80E-07	-6.7208986	-2.22913427	TNXB///TNXA
227826_s_at	6.46E-04	7.91E-07	-6.7145315	-4.06169217	SORBS2
204472_at	6.50E-04	8.08E-07	-6.7054644	-2.53058408	GEM
243864_at	6.50E-04	8.39E-07	-6.688806	-2.87165756	CCDC80
203130_s_at	6.50E-04	8.43E-07	-6.6868323	-2.52401887	KIF5C
209763_at	6.50E-04	8.46E-07	-6.6854428	-3.09658699	CHRDL1
213524_s_at	6.50E-04	8.56E-07	-6.6803393	-1.27056069	G0S2
204035_at	6.60E-04	9.07E-07	-6.6552691	-2.3005283	SCG2
212977_at	6.60E-04	9.12E-07	-6.6529125	-2.06600583	ACKR3
221031_s_at	6.60E-04	9.15E-07	-6.6512592	-3.16997024	APOLD1
202766_s_at	6.60E-04	9.21E-07	-6.6485319	-1.73730058	FBN1
203088_at	6.60E-04	9.35E-07	-6.6418498	-1.84176423	FBLN5
200986_at	6.60E-04	9.57E-07	-6.6318981	-1.55920372	SERPING1
205902_at	6.60E-04	9.63E-07	-6.6292623	-3.68774995	KCNN3
228063_s_at	6.60E-04	9.66E-07	-6.6278401	-2.22706659	NAP1L5
233011_at	6.65E-04	9.85E-07	-6.6195287	-3.24464104	ANXA1
212865_s_at	6.65E-04	9.98E-07	-6.613635	-2.35418845	COL14A1
204939_s_at	6.65E-04	1.01E-06	-6.6091358	-5.05906414	PLN
205547_s_at	6.92E-04	1.06E-06	-6.5862489	-3.58269937	TAGLN
227827_at	6.92E-04	1.08E-06	-6.5810877	-3.83847055	SORBS2
203083_at	7.00E-04	1.10E-06	-6.5711824	-4.11311019	THBS2
211998_at	7.55E-04	1.20E-06	-6.5339136	-1.26517729	MIR4738///H3F3B///H3F3A
204749_at	7.63E-04	1.23E-06	-6.5241198	-3.51518236	NAP1L3
213847_at	7.66E-04	1.25E-06	-6.5176341	-3.49747826	PRPH
202014_at	7.98E-04	1.33E-06	-6.4911464	-1.62849956	PPP1R15A
225241_at	7.98E-04	1.33E-06	-6.4898259	-2.83607585	CCDC80
201147_s_at	7.98E-04	1.35E-06	-6.4822023	-2.18465963	TIMP3
202581_at	7.98E-04	1.36E-06	6.4809621	1.62053446	HSPA1B///HSPA1A
219778_at	8.07E-04	1.39E-06	-6.4716988	-2.50150013	ZFPM2
226281_at	8.29E-04	1.44E-06	-6.4555355	-2.66295491	DNER
202234_s_at	8.41E-04	1.48E-06	6.444912	1.34245752	SLC16A1
209758_s_at	8.66E-04	1.54E-06	-6.4277918	-2.45706511	MFAP5
202192_s_at	8.71E-04	1.56E-06	-6.4212064	-1.4692874	GAS7
204754_at	8.85E-04	1.62E-06	-6.4060577	-3.58616795	HLF
224560_at	8.85E-04	1.62E-06	-6.4048808	-1.68613036	TIMP2
211071_s_at	8.85E-04	1.66E-06	-6.3950582	-2.85655127	MLLT11
227530_at	8.85E-04	1.67E-06	-6.3921973	-2.86198526	AKAP12
226071_at	8.85E-04	1.68E-06	-6.3892846	-2.3880501	ADAMTSL4
209074_s_at	8.85E-04	1.69E-06	-6.3865156	-1.92005909	FAM107A
202994_s_at	8.85E-04	1.73E-06	-6.37826	-2.32796309	FBLN1
209335_at	8.85E-04	1.73E-06	-6.3781164	-1.98026042	DCN
218468_s_at	8.85E-04	1.73E-06	-6.3765365	-3.03297024	GREM1
1554966_a_at	8.87E-04	1.76E-06	-6.3691826	-2.17182937	FILIP1L
205612_at	8.87E-04	1.77E-06	-6.3680907	-3.22356158	MMRN1
1555630_a_at	8.94E-04	1.80E-06	-6.3604414	-1.92034081	NARR///RAB34
201185_at	9.19E-04	1.87E-06	-6.3449577	-1.63327513	HTRA1
204722_at	9.40E-04	1.94E-06	-6.3293446	-3.47397372	SCN3B
229230_at	9.40E-04	1.94E-06	6.3279343	4.44483798	SLC51A
228335_at	9.66E-04	2.01E-06	-6.3123531	-3.43908076	CLDN11
204465_s_at	1.02E-03	2.14E-06	-6.2871001	-3.31586402	INA
222774_s_at	1.02E-03	2.17E-06	6.2812118	1.80292439	NETO2
205883_at	1.02E-03	2.19E-06	-6.2775463	-2.21300236	ZBTB16
205697_at	1.04E-03	2.24E-06	-6.2674419	-3.38908235	SCGN
203887_s_at	1.06E-03	2.30E-06	-6.2557635	-2.02670485	THBD
228202_at	1.06E-03	2.34E-06	-6.2479653	-3.92245431	
209006_s_at	1.06E-03	2.34E-06	6.2479389	1.81851294	RSRP1
224997_x_at	1.06E-03	2.38E-06	-6.2420703	-2.52824403	MIR675///H19
205168_at	1.09E-03	2.45E-06	-6.2293303	-2.14640605	DDR2
204135_at	1.14E-03	2.58E-06	-6.2065227	-1.85052396	FILIP1L
227061_at	1.17E-03	2.68E-06	-6.1915466	-3.52012664	LINC01279
203238_s_at	1.18E-03	2.73E-06	-6.1839101	-1.75553133	NOTCH3
214023_x_at	1.18E-03	2.74E-06	-6.1819199	-3.20764199	TUBB2B
203186_s_at	1.18E-03	2.76E-06	-6.1786898	-1.78075277	S100A4
209118_s_at	1.18E-03	2.78E-06	-6.1753539	-2.48970955	TUBA1A
201473_at	1.22E-03	2.90E-06	-6.1577807	-1.44761491	JUNB
206349_at	1.23E-03	2.96E-06	-6.1489037	-4.12131546	LGI1
204570_at	1.23E-03	2.98E-06	-6.1462425	-1.96658265	COX7A1
218332_at	1.25E-03	3.03E-06	-6.1390086	-2.86953124	BEX1
226856_at	1.25E-03	3.07E-06	-6.1336383	-3.30895317	TMEM110-MUSTN1///MUSTN1///TMEM110
231773_at	1.25E-03	3.10E-06	-6.1289545	-3.55834805	ANGPTL1
225720_at	1.25E-03	3.11E-06	-6.1286614	-4.1112212	SYNPO2
227762_at	1.26E-03	3.18E-06	-6.1186168	-3.02323307	
213001_at	1.26E-03	3.18E-06	-6.118417	-1.79371671	ANGPTL2
202920_at	1.26E-03	3.20E-06	-6.1163755	-2.19459586	ANK2
209087_x_at	1.27E-03	3.26E-06	-6.1081979	-2.30934733	MCAM
219295_s_at	1.28E-03	3.32E-06	-6.1007093	-1.93981483	PCOLCE2
205691_at	1.28E-03	3.34E-06	-6.0985156	-2.53970621	SYNGR3
203562_at	1.29E-03	3.37E-06	-6.0946334	-2.14534496	FEZ1
209291_at	1.29E-03	3.40E-06	-6.0904536	-2.01645055	ID4
201497_x_at	1.29E-03	3.41E-06	-6.088947	-3.14950604	MYH11
204621_s_at	1.31E-03	3.51E-06	-6.0774144	-2.52485388	NR4A2
206637_at	1.31E-03	3.53E-06	-6.0751138	-1.88820492	P2RY14
238073_at	1.31E-03	3.56E-06	-6.0715984	-3.32415337	ELAVL4
202260_s_at	1.31E-03	3.60E-06	-6.0669931	-1.52962985	STXBP1
213281_at	1.31E-03	3.61E-06	-6.0651926	-1.39505655	JUN
220037_s_at	1.31E-03	3.63E-06	-6.0630905	-2.6722484	LYVE1
226432_at	1.32E-03	3.67E-06	6.0585853	1.75699572	ETNK1
218469_at	1.32E-03	3.69E-06	-6.0565854	-2.65226617	GREM1
203999_at	1.32E-03	3.71E-06	-6.0532355	-2.63013595	SYT1
209687_at	1.32E-03	3.74E-06	-6.0502009	-2.10452829	CXCL12
218736_s_at	1.37E-03	3.92E-06	-6.0306052	-2.58535451	PALMD
219087_at	1.51E-03	4.33E-06	-5.9883892	-2.5585024	ASPN
238481_at	1.54E-03	4.45E-06	-5.9772047	-3.14493017	MGP
204622_x_at	1.54E-03	4.47E-06	-5.9756985	-2.12965161	NR4A2
203910_at	1.56E-03	4.59E-06	-5.9645573	-1.68858784	ARHGAP29
200665_s_at	1.56E-03	4.60E-06	-5.9638812	-1.33761376	SPARC
221748_s_at	1.58E-03	4.70E-06	-5.9545853	-2.719048	TNS1
213069_at	1.58E-03	4.70E-06	-5.9540481	-1.34872944	HEG1
231897_at	1.58E-03	4.73E-06	5.9522068	1.46634409	PTGR1
226517_at	1.58E-03	4.80E-06	-5.9459236	-2.50151153	BCAT1
213071_at	1.58E-03	4.80E-06	-5.9458307	-2.72965782	DPT
201540_at	1.58E-03	4.82E-06	-5.9440351	-2.37139681	FHL1
226103_at	1.58E-03	4.85E-06	-5.9413876	-3.17178746	NEXN
206051_at	1.60E-03	4.96E-06	-5.9322999	-2.80283797	ELAVL4
222943_at	1.60E-03	5.00E-06	5.9286788	2.16029424	GBA3
212494_at	1.60E-03	5.00E-06	-5.9281861	-1.72895507	TNS2
224339_s_at	1.62E-03	5.09E-06	-5.9212939	-3.68734185	ANGPTL1
237033_at	1.62E-03	5.13E-06	-5.9180833	-2.84312224	FAM159A
201893_x_at	1.64E-03	5.22E-06	-5.9105333	-1.91844216	DCN
225442_at	1.65E-03	5.28E-06	-5.9055089	-2.12503832	DDR2
228333_at	1.65E-03	5.33E-06	-5.901668	-1.59398262	ZEB2
202995_s_at	1.65E-03	5.35E-06	-5.899973	-2.35342144	FBLN1
218656_s_at	1.69E-03	5.50E-06	-5.8884971	-1.8321495	LHFP
208789_at	1.70E-03	5.57E-06	-5.8834923	-2.29806247	PTRF
210653_s_at	1.70E-03	5.59E-06	5.8822077	1.57562058	BCKDHB
212372_at	1.71E-03	5.65E-06	-5.8773852	-1.64032771	MYH10
209031_at	1.76E-03	5.91E-06	-5.8589353	-1.57957342	CADM1
1565784_at	1.76E-03	5.91E-06	-5.8585293	-2.51970523	TNK2-AS1
217967_s_at	1.76E-03	5.92E-06	-5.857757	-2.60517958	FAM129A
201012_at	1.76E-03	5.94E-06	-5.8565191	-1.89347145	ANXA1
236644_at	1.76E-03	6.01E-06	-5.8519924	-3.3419846	RNF180
202403_s_at	1.76E-03	6.03E-06	-5.8502222	-1.46189712	COL1A2
208791_at	1.76E-03	6.05E-06	-5.8490964	-2.83576928	CLU
235094_at	1.76E-03	6.07E-06	-5.8476974	-1.94458099	
203813_s_at	1.78E-03	6.19E-06	-5.8392837	-2.24392327	SLIT3
223475_at	1.78E-03	6.23E-06	-5.8367514	-3.4402275	CRISPLD1
214651_s_at	1.78E-03	6.23E-06	5.8364377	1.14634952	HOXA10-HOXA9///MIR196B///HOXA9
208782_at	1.80E-03	6.35E-06	-5.8289908	-1.67001507	FSTL1
201787_at	1.87E-03	6.63E-06	-5.8106087	-2.28985753	FBLN1
205384_at	1.87E-03	6.68E-06	-5.8079581	-1.91178669	FXYD1
221916_at	1.89E-03	6.78E-06	-5.8013087	-3.28913083	NEFL
203766_s_at	1.89E-03	6.83E-06	-5.7983182	-4.13577205	LMOD1
228224_at	1.89E-03	6.86E-06	-5.7968589	-3.0495838	PRELP
227705_at	1.91E-03	6.95E-06	-5.7909453	-2.04197379	TCEAL7
221911_at	1.92E-03	7.08E-06	-5.7832929	-2.73816153	ETV1
205428_s_at	1.92E-03	7.12E-06	-5.7813933	-2.59184371	CALB2
1555724_s_at	1.92E-03	7.14E-06	-5.7800125	-3.66930156	TAGLN
202376_at	1.92E-03	7.15E-06	-5.7795765	-3.09737753	SERPINA3
226751_at	1.94E-03	7.24E-06	-5.7742783	-1.68850735	CNRIP1
212843_at	1.95E-03	7.33E-06	-5.7691801	-1.78501668	NCAM1
210222_s_at	1.95E-03	7.33E-06	-5.7688694	-2.35118914	RTN1
205110_s_at	1.98E-03	7.49E-06	-5.7598516	-2.18619257	FGF13
226625_at	2.00E-03	7.61E-06	-5.7535922	-2.02076065	TGFBR3
201465_s_at	2.01E-03	7.68E-06	-5.7495108	-1.76363945	JUN
231579_s_at	2.03E-03	7.82E-06	-5.7420516	-1.6283262	TIMP2
212670_at	2.03E-03	7.86E-06	-5.7399936	-2.49669219	ELN
215870_s_at	2.03E-03	7.89E-06	-5.7387509	-3.85762188	PLA2G5
203485_at	2.03E-03	7.90E-06	-5.7381823	-3.85436147	RTN1
202191_s_at	2.03E-03	7.95E-06	-5.7351088	-1.59532981	GAS7
216033_s_at	2.04E-03	8.01E-06	-5.7320021	-1.63540361	FYN
225665_at	2.05E-03	8.09E-06	-5.7280153	-2.52572988	ZAK
202409_at	2.09E-03	8.28E-06	-5.7185661	-2.0541293	INS-IGF2///IGF2
218678_at	2.10E-03	8.39E-06	-5.7129791	-1.55396803	NES
207177_at	2.10E-03	8.41E-06	-5.7119396	-2.48929427	PTGFR
205356_at	2.12E-03	8.52E-06	-5.706819	-1.11980754	USP13
202508_s_at	2.12E-03	8.56E-06	-5.7046797	-3.5349209	SNAP25
210221_at	2.13E-03	8.69E-06	-5.698606	-2.48740093	CHRNA3
204471_at	2.13E-03	8.70E-06	-5.6981196	-3.44541434	GAP43
225987_at	2.16E-03	8.86E-06	-5.6903346	-1.88317352	STEAP4
216598_s_at	2.18E-03	8.98E-06	-5.6848509	-2.47746672	CCL2
1558796_a_at	2.18E-03	9.04E-06	-5.6818799	-2.9477165	
202672_s_at	2.18E-03	9.06E-06	-5.6811441	-2.33252805	ATF3
207266_x_at	2.18E-03	9.10E-06	-5.6794149	-1.89322973	RBMS1
244745_at	2.18E-03	9.15E-06	-5.6770668	-2.61573249	RERG
225895_at	2.19E-03	9.22E-06	-5.6738071	-3.41092077	SYNPO2
242680_at	2.21E-03	9.33E-06	-5.6687988	-2.12009123	AVPR1A
220786_s_at	2.22E-03	9.40E-06	5.6658005	2.70368453	SLC38A4
203335_at	2.22E-03	9.49E-06	5.6619617	1.31534309	PHYH
204940_at	2.22E-03	9.50E-06	-5.6615604	-3.69545886	PLN
209283_at	2.24E-03	9.64E-06	-5.6554452	-2.81192266	CRYAB
204803_s_at	2.24E-03	9.71E-06	-5.6524306	-2.73415518	RRAD
225285_at	2.24E-03	9.73E-06	-5.6517424	-1.89858186	BCAT1
205923_at	2.26E-03	9.84E-06	-5.6468378	-1.39148066	RELN
1555233_at	2.26E-03	9.89E-06	-5.6449655	-2.6405434	RHOJ
211555_s_at	2.28E-03	1.00E-05	-5.6394019	-1.62614239	GUCY1B3
219059_s_at	2.28E-03	1.01E-05	-5.6381668	-2.95690329	LYVE1
208430_s_at	2.29E-03	1.01E-05	-5.6354381	-3.04690558	DTNA
227307_at	2.29E-03	1.02E-05	-5.63162	-2.57855865	TSPAN18
221565_s_at	2.29E-03	1.02E-05	-5.6311942	-2.18896639	CALHM2
204823_at	2.29E-03	1.03E-05	-5.6295021	-3.07219779	NAV3
209568_s_at	2.31E-03	1.04E-05	-5.6250774	-1.06326832	RGL1
207251_at	2.31E-03	1.04E-05	5.6225311	3.06307646	MEP1B
211340_s_at	2.31E-03	1.05E-05	-5.6204182	-1.91555637	MIR6756///MCAM
201141_at	2.31E-03	1.05E-05	-5.6186004	-1.81005585	GPNMB
218730_s_at	2.33E-03	1.07E-05	-5.6133598	-4.08156353	OGN
221016_s_at	2.33E-03	1.07E-05	-5.6116868	-1.53180617	TCF7L1
212509_s_at	2.34E-03	1.08E-05	-5.6098767	-2.26182362	MXRA7
225269_s_at	2.34E-03	1.08E-05	-5.6080423	-1.58561243	RBMS1
203817_at	2.42E-03	1.12E-05	-5.5926787	-2.19412089	GUCY1B3
206898_at	2.43E-03	1.13E-05	-5.5885632	-2.16164682	CDH19
201162_at	2.43E-03	1.14E-05	-5.5871361	-1.64932617	IGFBP7
213832_at	2.45E-03	1.15E-05	-5.5826805	-1.79450433	KCND3
208792_s_at	2.45E-03	1.16E-05	-5.5806588	-2.3996804	CLU
206953_s_at	2.46E-03	1.17E-05	-5.5770878	-1.58779819	ADGRL2
201931_at	2.46E-03	1.17E-05	5.5763129	1.32487795	ETFA
210299_s_at	2.48E-03	1.19E-05	-5.570088	-2.85276196	FHL1
201426_s_at	2.48E-03	1.19E-05	-5.5686747	-1.51836425	VIM
212233_at	2.48E-03	1.19E-05	-5.5680855	-1.94259649	MAP1B
205407_at	2.49E-03	1.20E-05	-5.5636331	-1.55047244	RECK
212817_at	2.49E-03	1.21E-05	-5.5626263	-2.41914136	DNAJB5
212419_at	2.53E-03	1.23E-05	-5.5535502	-1.66465224	ZCCHC24
205578_at	2.53E-03	1.24E-05	-5.5513455	-2.57016279	ROR2
213258_at	2.53E-03	1.24E-05	-5.5503655	-1.75470318	TFPI
226895_at	2.53E-03	1.25E-05	-5.5496259	-1.53557776	NFIC
227235_at	2.54E-03	1.25E-05	-5.5475367	-2.75983342	GUCY1A3
221814_at	2.55E-03	1.27E-05	-5.5429048	-1.55274848	ADGRA2
223623_at	2.58E-03	1.29E-05	-5.5362305	-3.71883039	C2orf40
209447_at	2.58E-03	1.29E-05	-5.535639	-1.73643582	SYNE1
216963_s_at	2.58E-03	1.30E-05	-5.5331864	-2.23949437	GAP43
211896_s_at	2.58E-03	1.31E-05	-5.5299231	-1.94918623	DCN
205330_at	2.58E-03	1.31E-05	-5.5275402	-2.57109761	MN1
226237_at	2.58E-03	1.32E-05	-5.5272352	-2.11670479	COL8A1
202652_at	2.58E-03	1.32E-05	-5.5269597	-2.09558782	APBB1
211126_s_at	2.58E-03	1.32E-05	-5.5264662	-1.43436234	CSRP2
202388_at	2.58E-03	1.32E-05	-5.5261232	-2.24326658	RGS2
242677_at	2.58E-03	1.33E-05	-5.523256	-2.24533866	
221974_at	2.58E-03	1.33E-05	-5.5218269	-1.56127013	LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW
204904_at	2.70E-03	1.40E-05	-5.5015992	-2.20470287	GJA4
210519_s_at	2.71E-03	1.41E-05	5.4992037	1.8164872	NQO1
37022_at	2.72E-03	1.42E-05	-5.496762	-1.55887334	PRELP
218651_s_at	2.72E-03	1.42E-05	-5.4950066	-2.23090929	LARP6
227059_at	2.72E-03	1.43E-05	-5.4928575	-1.78425827	GPC6
201397_at	2.72E-03	1.43E-05	-5.4921418	-1.74522455	PHGDH
203951_at	2.73E-03	1.45E-05	-5.4876911	-3.90506535	CNN1
228155_at	2.73E-03	1.45E-05	5.4874516	1.58824069	FAM213A
238592_at	2.73E-03	1.45E-05	-5.4859688	-2.52314054	
208978_at	2.74E-03	1.47E-05	-5.482122	-2.152408	CRIP2
201802_at	2.74E-03	1.47E-05	-5.4809935	-2.38846928	SLC29A1
235004_at	2.74E-03	1.48E-05	-5.4794139	-2.47934197	RBM24
226646_at	2.74E-03	1.48E-05	-5.4787666	-2.0223024	KLF2
228228_at	2.75E-03	1.49E-05	-5.4765664	-1.58681189	DACT3
226084_at	2.76E-03	1.50E-05	-5.4738786	-2.06346085	MAP1B
224710_at	2.78E-03	1.51E-05	-5.4694362	-1.89307553	NARR///RAB34
203748_x_at	2.78E-03	1.52E-05	-5.4668305	-1.62119147	RBMS1
200762_at	2.78E-03	1.53E-05	-5.4661234	-1.37636775	DPYSL2
226322_at	2.83E-03	1.56E-05	-5.4575833	-2.10362078	TMTC1
228540_at	2.84E-03	1.57E-05	-5.4554427	-2.38979939	QKI
212097_at	2.86E-03	1.58E-05	-5.4508627	-2.1060359	CAV1
231766_s_at	2.90E-03	1.61E-05	-5.4440402	-2.79511158	COL12A1
211569_s_at	2.91E-03	1.62E-05	5.4404774	1.54199879	HADH
229957_at	2.91E-03	1.63E-05	-5.4392397	-1.92981373	TMEM91
221747_at	2.91E-03	1.63E-05	-5.4382285	-2.78167505	TNS1
209242_at	2.93E-03	1.65E-05	-5.4336169	-2.89524515	PEG3
201058_s_at	2.93E-03	1.66E-05	-5.4312702	-3.62726061	MYL9
229800_at	2.93E-03	1.66E-05	-5.4312419	-2.16537531	DCLK1
218934_s_at	2.94E-03	1.67E-05	-5.4288245	-3.22748511	HSPB7
212157_at	2.94E-03	1.68E-05	-5.4273028	-1.71733295	SDC2
238151_at	2.94E-03	1.68E-05	-5.4264868	-3.2301602	
208908_s_at	2.96E-03	1.70E-05	5.4214731	1.01889004	CAST
219017_at	2.96E-03	1.70E-05	5.4212115	2.78065716	ETNK1
204422_s_at	2.99E-03	1.73E-05	-5.4146228	-3.00784952	FGF2
205200_at	3.00E-03	1.74E-05	-5.4118557	-1.77572111	EXOSC7///CLEC3B
1557515_at	3.00E-03	1.75E-05	-5.410128	-2.43278361	
203498_at	3.00E-03	1.75E-05	-5.4090918	-1.44879235	RCAN2
37408_at	3.00E-03	1.76E-05	-5.4079422	-0.99995358	MRC2
229485_x_at	3.00E-03	1.76E-05	-5.407005	-3.22694913	SHISA3
227209_at	3.00E-03	1.77E-05	-5.4059257	-2.17616093	CNTN1
229584_at	3.00E-03	1.78E-05	-5.4026043	-2.12959102	LRRK2
226500_at	3.00E-03	1.79E-05	-5.4001045	-1.49109852	ZBTB47
225978_at	3.00E-03	1.79E-05	-5.3999636	-3.01520082	RIMKLB
209598_at	3.00E-03	1.79E-05	-5.3996763	-2.54504596	PNMA2
209656_s_at	3.00E-03	1.79E-05	-5.3996697	-1.99112953	TMEM47
230309_at	3.01E-03	1.80E-05	-5.3974497	-2.88984364	BHMT2
204894_s_at	3.01E-03	1.81E-05	-5.3955164	-2.47400079	AOC3
209651_at	3.02E-03	1.82E-05	-5.39371	-2.14607428	TGFB1I1
202404_s_at	3.05E-03	1.85E-05	-5.3874119	-1.37390496	COL1A2
227649_s_at	3.07E-03	1.86E-05	-5.383907	-1.76713205	SRGAP2C///SRGAP2B///SRGAP2
823_at	3.11E-03	1.89E-05	-5.3781015	-1.42076848	CX3CL1
204365_s_at	3.11E-03	1.91E-05	-5.3744021	-2.06577152	REEP1
200859_x_at	3.11E-03	1.91E-05	-5.3734683	-2.48205265	FLNA
202686_s_at	3.11E-03	1.92E-05	-5.3729716	-1.57799417	AXL
227265_at	3.11E-03	1.92E-05	-5.3726402	-1.25309762	FGL2
213933_at	3.11E-03	1.92E-05	-5.3717059	-3.1773566	PTGER3
204364_s_at	3.13E-03	1.95E-05	-5.3646571	-2.80081651	REEP1
226216_at	3.13E-03	1.96E-05	5.3634909	0.99131556	INSR
209191_at	3.13E-03	1.96E-05	-5.363377	-2.25316781	TUBB6
207317_s_at	3.13E-03	1.97E-05	-5.3623115	-4.06377949	CASQ2
220305_at	3.13E-03	1.97E-05	5.3620027	1.00423349	MAVS
202274_at	3.13E-03	1.97E-05	-5.3611111	-3.39234102	ACTG2
213010_at	3.21E-03	2.03E-05	-5.3497868	-1.61477217	PRKCDBP
214505_s_at	3.21E-03	2.04E-05	-5.3478798	-2.50245815	FHL1
203296_s_at	3.21E-03	2.04E-05	-5.3478031	-2.71709678	ATP1A2
220974_x_at	3.21E-03	2.04E-05	-5.3466777	-1.16409715	SFXN3
1560225_at	3.21E-03	2.05E-05	-5.3448221	-2.9014185	CNR1
203662_s_at	3.23E-03	2.07E-05	-5.3417404	-3.55260308	TMOD1
213268_at	3.24E-03	2.08E-05	-5.3390407	-2.71469025	CAMTA1
